"ID del post","ID dell'account","Nome utente dell'account","Nome account",Descrizione,"Durata (s)","Orario di pubblicazione",Permalink,"Tipo di post","Commento sui dati",Data,Visualizzazioni,"Mi piace",Condivisioni,Commenti,Salvataggi,Copertura,Follower
17940924150231478,17841401019010003,ruberry,"Laura Masi","Due giorni a Bolzano per il BEAM Hospitality Game Changer Summit, un evento che riunisce professionisti e innovatori del mondo dell’hospitality per immaginare insieme il futuro del settore.

Speech, workshop e momenti di confronto che hanno aperto riflessioni su come sta evolvendo il modo di vivere l’ospitalità tra nuove generazioni, tecnologia e sostenibilità — non solo ambientale, ma anche sociale.

Un’esperienza ricca di stimoli, connessioni e nuove prospettive, in cui il filo conduttore è stato chiaro: riportare sempre tutto a una dimensione più umana.

Adv @beam_summit 
#BEAM26 #LeadTheShift #BEAMSummit #HospitalityInnovation #Sustainability",55,"05/25/2026 10:01",https://www.instagram.com/reel/DYxOzRGIasZ/,"Reel di Instagram",,Totale,14171,121,5,85,0,,
17989966331986132,17841465712152746,beam_summit,"BEAM Hospitality Gamechanger Summit","Two days. 400 people. 
One question running through everything: 
what does it actually take to lead the shift in hospitality?

BEAM 2026 didn't answer it. 
It became the answer.

Be Ambitious.
And see you at BEAM 2027 :)

#beam #beamsummit #leadtheshift #hospitality #innovation",0,"05/22/2026 09:06",https://www.instagram.com/p/DYpaPfaCnOv/,"Carosello di Instagram",,Totale,1702,64,2,0,0,737,0
18010349276885937,17841403748231005,matteo_delvai,"Matteo Delvai","| Immaginare di salire su una mongolfiera, volare, vedere il mondo rimpicciolirsi, le nuvole, scendere trovandosi nel 2045 o poco più in là. Spingere la propria immaginazione al domani, a quel punto fisso che stai creando e sviluppando, dando concretezza a tutto ciò. Alleggerire la propria mente per apprendere la vera importanza dell’ascoltare, dell’osservare e dell’immaginare: questo grazie a @beam_summit, che guida anno dopo anno il vero cambiamento. |

#beam #beamsummit2026 #fierabolzano #",30,"05/20/2026 22:30",https://www.instagram.com/reel/DYlsoZmuc73/,"Reel di Instagram",,Totale,2458,65,4,6,0,,
17857228917642380,17841465712152746,beam_summit,"BEAM Hospitality Gamechanger Summit","There’s one thing the fastest-growing hotels in Europe have in common. The people who figured it out are at BEAM.

#beamsummit #hospitality #beambitious #beamnetworking #transformation",26,"05/20/2026 04:07",https://www.instagram.com/reel/DYjuYRJN2ot/,"Reel di Instagram",,Totale,1520,42,4,0,0,912,6
18112161094846508,17841465712152746,beam_summit,"BEAM Hospitality Gamechanger Summit","Day 2 is stunninggg 😍😍

@claudio.ruatti @dievinny Boris Lebedev and Nils Persson

#beamsummit #hospitality #beambitious #beamnetworking",31,"05/20/2026 01:29",https://www.instagram.com/reel/DYjcH2vtzTW/,"Reel di Instagram",,Totale,3423,55,8,0,2,2535,2
17875386699478042,17841465712152746,beam_summit,"BEAM Hospitality Gamechanger Summit","BEAM is not just a conference full of theory. 

With our Labs you can definitely touch the industry with your hand.

@hgv__suedtirol @noi.techpark @foodservicelab 

#beamsummit #hospitality #beambitious #transformation",22,"05/19/2026 11:37",https://www.instagram.com/reel/DYh87fptf3M/,"Reel di Instagram",,Totale,1035,30,4,0,1,617,0
18191874343370179,17841465712152746,beam_summit,"BEAM Hospitality Gamechanger Summit","Speeches are going ooonnn! Are you in?🤩

#beamsummit #hospitality #transformation #innovation",15,"05/19/2026 09:12",https://www.instagram.com/reel/DYhsPSXNf2K/,"Reel di Instagram",,Totale,1102,17,1,0,0,879,0
17888756661484067,17841465712152746,beam_summit,"BEAM Hospitality Gamechanger Summit","Today’s stage was on fire 🔥 

Speakers: 
@andreastuffentsammer Sabine Rogg @phil5ibrahim @magnus.berlin and @svensallaerts 

Moderators: 
@claudio.ruatti @dievinny 

#beamsummit #hospitality #transformation #innovation #beamcommunity",22,"05/19/2026 08:40",https://www.instagram.com/reel/DYhoh-hqeop/,"Reel di Instagram",,Totale,3913,63,13,0,2,2904,4
18095416658177501,17841465712152746,beam_summit,"BEAM Hospitality Gamechanger Summit","How BEAM starts ✨

#beamsummit #hospitality #beambitious #leadtheshift #transformation",33,"05/19/2026 06:01",https://www.instagram.com/reel/DYhWimtN3n3/,"Reel di Instagram",,Totale,4192,76,11,1,2,3235,2
18115711069743663,17841465712152746,beam_summit,"BEAM Hospitality Gamechanger Summit","BEAM doesn't happen alone.

Behind every session, every experience, every connection at BEAM 2026 stands a network of partners who believe the same thing we do: hospitality is worth reshaping.

From industry institutions to food innovators, from regional leaders to international media, this is the ecosystem that makes Lead the Shift more than a tagline.

#beam #beamsummit #hospitality",0,"05/15/2026 08:46",https://www.instagram.com/p/DYXWXzBCQ1q/,"Carosello di Instagram",,Totale,2120,24,6,0,2,1271,0
18110827576887596,17841465712152746,beam_summit,"BEAM Hospitality Gamechanger Summit","Co-living in the mountains. Longevity before it was a trend.
A distillery, brewery, and coffee roaster
where guests follow the entire value chain on site.

Three South Tyrolean projects that didn’t wait
for the industry to catch up.

At BEAM 2026, the people behind them
sit down together to talk about
what it actually takes to build something new.

Included in your BEAM ticket.

#beamsummit #southtyrol #innovatio",0,"05/14/2026 08:55",https://www.instagram.com/p/DYUylkpDS-B/,"Carosello di Instagram",,Totale,1734,31,7,0,0,561,0
18349572865245278,17841465712152746,beam_summit,"BEAM Hospitality Gamechanger Summit","For decades, food has been treated as a cost to manage.

The Food System Economics Commission sees a 5 trillion dollar opportunity instead.

At BEAM 2026, experts from nutrition, foodservice, healthcare, and strategy work through what this means for your business — at four thematic tables.

Note: includes a pre-session on May 19 at 11:00 AM.
Details after registration.

Language: german + AI-assisted simultaneous translation

Included in your BEAM ticket.
May 19-20 | Bolzano

#hospitality #business #beamsummit #tourism #food",0,"05/11/2026 08:45",https://www.instagram.com/p/DYNDIkJir2i/,"Carosello di Instagram",,Totale,548,10,0,0,0,258,0
17945936448161037,17841465712152746,beam_summit,"BEAM Hospitality Gamechanger Summit","Bank financing is one tool.
But it’s rarely enough on its own.

At BEAM 2026, experts from banking,
natural capital, and hospitality show
how new capital structures are already
working in practice — with real Alpine
projects behind them.

Language: german + AI-assisted simultaneous translation

Included in your BEAM ticket.
May 19-20 | Bolzano

#finance #beamsummit #financemasterclass #hospitality",0,"05/08/2026 08:30",https://www.instagram.com/p/DYFTDbzCt90/,"Carosello di Instagram",,Totale,895,7,0,0,0,406,0
18099560480088939,17841465712152746,beam_summit,"BEAM Hospitality Gamechanger Summit","What will guests actually want in 2035?

Fraunhofer IAO has been researching
this question for years.
At BEAM, their scenarios become
a working session — with the researchers
and the operators in the same room.

Language: german + AI-assisted simultaneous translation

Included in your BEAM ticket.
May 19-20 | Bolzano

Link in bio 😌

#beamsummit #hospitality #hotels",0,"05/06/2026 08:20",https://www.instagram.com/p/DYAIPZujVXI/,"Carosello di Instagram",,Totale,2018,15,4,0,2,942,0
17923328532335521,17841465712152746,beam_summit,"BEAM Hospitality Gamechanger Summit","What if the kitchen was part of the lab?

Seven years of errors in new food development — translated into one actionable session.

Powered by @noi.techpark

Language: english + AI-assisted simultaneous translation 

May 19-20 | Bolzano

#BEAMSummit #Innovation #tourism #Hospitality",0,"05/04/2026 08:30",https://www.instagram.com/p/DX6_y_hjqQA/,"Carosello di Instagram",,Totale,748,9,0,1,2,348,0
18401178901150102,17841465712152746,beam_summit,"BEAM Hospitality Gamechanger Summit","Diana Verde Nieto worked in sustainability since 1999.
Her confession at BEAM: “We did it the wrong way for 25 years.”

They created a language no one understands. Made their lives incredibly difficult.

Her mission now? Destroy those silos.

This will change how restaurants and hotels interact with guests.
Write that down. 
Remember the crazy Argentine.

BEAM 2026 | May 19-20 | Bolzano

#BEAM2026 #Sustainability #LeadTheShift #DianaVerdeNieto #DestroyTheSilos",0,"05/02/2026 08:45",https://www.instagram.com/p/DX14AJmjdfT/,"Carosello di Instagram",,Totale,359,6,0,0,1,174,0
18096380179887978,17841465712152746,beam_summit,"BEAM Hospitality Gamechanger Summit","Some people build brands. Some people build cultures.

Tyler Brûlé founded Monocle — now a global media company with radio, books, shops and cafés from London to Tokyo. Through Winkreative, he transformed brands including Swiss International Airlines and Moncler.

At BEAM 2026, he brings his vision on identity, relevance, and what it takes to build something lasting in hospitality.

May 19-20 | Bolzano

See you there :)

#hospitality #beamsummit #innovation #tourism",0,"04/30/2026 08:40",https://www.instagram.com/p/DXwtwgIiepW/,"Carosello di Instagram",,Totale,492,12,1,0,0,252,0
18583778161017741,17841401360585936,zukunvt,zukunvt,"@beam_summit isn't the same event it was three years ago. 
Every edition pushes the conversation somewhere new and pushes us to show up differently: sharper thinking, better questions, more useful work for the people we partner with. 
This year the CEO @viktor.matic returns as one of the Ambitious Ambassadors, and we're once again behind the scenes working on BEAM's workbook: the printed piece that last year turned out to be one of the most appreciated take-homes of the summit.

BEAM 2026 | Lead the Shift! | 19–20 May | @fieramesse, Bolzano-Bozen.
Curious who else is shaping this edition? The full list of Ambitious Ambassadors is in the first comment.
@tielooohr_bruuulay from Monocle will also be in attendance, along with other prominent speakers.
We have a limited number of special tickets reserved for our network. Write to info@zukunvt.com or DM @viktor.matic.
—
Thanks to Thomas Mur & @mar_tin.l 
Ph: @hannes_unterhauser",0,"04/30/2026 02:28",https://www.instagram.com/p/DXwDMsEkZSV/,"Carosello di Instagram",,Totale,2098,39,2,0,0,,
17964827856064239,17841465712152746,beam_summit,"BEAM Hospitality Gamechanger Summit","You've optimized your menu, your team, your brand.

But have you ever designed what a guest feels the moment they walk in?

I FEEL SPACE is the BEAM Lab exploring light, acoustics, and haptic design as strategic tools for guest experience — with Bjarke Ingels Group, GRAU Licht, and Vitra.

The workshop outcomes will be co-authored by curators @jojoanadickinson and @philipp_kirnbauer with Professor Maggie Chen from EHL Hospitality Business School @ehl.lausanne and used as a curriculum case study.

Language: english + AI-assisted simultaneous translation 

May 19-20 | Bolzano 
Ticket via link in bio!

#hospitality #BEAMSummit #HospitalityInnovation",0,"04/28/2026 08:36",https://www.instagram.com/p/DXrjt7yDN82/,"Carosello di Instagram",,Totale,1230,13,6,2,1,662,0
18322506997264177,17841465712152746,beam_summit,"BEAM Hospitality Gamechanger Summit","A year ago, @andreastuffentsammer  was sitting in the same room.

Listening. Talking. Thinking.

And from that conversation, ICC (Institute for Culinary Culture) was born.
A non-profit to change the culinary world for the better.

At BEAM 2026, he returns to tell the story.

Because some places don't leave you the same.

May 19-20 | Bolzano
Get your ticket  from link in bio!

#beamsummit #hospitality #HospitalityInnovation",0,"04/21/2026 07:50",https://www.instagram.com/p/DXZc4gEjGpX/,"Carosello di Instagram",,Totale,1045,42,1,5,1,483,1
17954753604120484,17841465712152746,beam_summit,"BEAM Hospitality Gamechanger Summit","Some people wait for the right moment.
Some people decide the right moment is now.

Angelica Megan Galeazzi started on a restaurant floor.
Today she's Founder of @angelicacortepalazzina and four hospitality startups.

At BEAM, she shares the four compasses that guided her.
Swipe to discover her journey.

BEAM 2026 | May 19-20 | Bolzano
Tickets in bio :)

#BEAM2026 #hospitality #LeadTheShift",0,"04/16/2026 08:30",https://www.instagram.com/p/DXMpgmQDb1F/,"Carosello di Instagram",,Totale,6155,109,13,5,5,2577,5
18061785875403616,17841465712152746,beam_summit,"BEAM Hospitality Gamechanger Summit","50+ national tourism associations in Germany. 
50 presidents. 50 agendas. 50 different voices.

Result? Zero political relevance.

Michael Otremba called it out at BEAM: ""During COVID, the transport minister met with the automotive industry every week. With tourism? Never.""

Travel is a primal human aspiration. The first books ever written were travel reports. The Odyssey itself is one long journey.

Yet as an industry, we're invisible. 
Why? Because we can't agree on anything except overnight numbers.

""I understand every minister who says: clarify your opinion first, then come back to me."" 
Seven years later, nothing happens.

It's time to stop being comfortable.

BEAM 2026 | May 19-20 | Bolzano

#BEAM2026 #TourismIndustry #LeadTheShift #MichaelOtremba #HamburgTourism #Collaboration",0,"04/13/2026 09:35",https://www.instagram.com/p/DXFCjXBGsge/,"Carosello di Instagram",,Totale,527,9,0,0,1,242,0
18111743641796369,17841409551754329,ronaldmarndt,"RONALD M. ARNDT","Mit dem HOTEL-PODCAST SOUTH TYROL haben wir erst letzte Woche unser neuestes Mitglied in der @hotelpodcast_-Family begrüßt und freuen uns nun über unsere erste Partnerschaft vor Ort. Grazie, @beam_summit! ❤️

Das wunderbare Team rund um Thomas Mur, Cristina Eberle und Domenique Hopfgartner hat mit dem „Hospitality Gamechanger Summit“ ein Format entwickelt, das weit über Südtirol hinaus immer mehr an Bedeutung gewinnt. Natürlich bin ich am 19. und 20. Mai vor Ort in der @fieramesse dabei und freue mich auf viele bekannte, aber auch neue Gesichter. ⛰️

Wer ist noch dabei, meldet euch gerne! 🚅",0,"04/13/2026 06:38",https://www.instagram.com/p/DXEuEWhjJYM/,"Immagine di Instagram",,Totale,1465,24,2,1,0,,
18145929052490042,17841411029095978,vitalpin,Vitalpin,"BEAM SUMMIT geht in die nächste Runde🚀

Auch dieses Jahr sind wir wieder dabei - unter dem Motto ""Lead the Shift"".

📅 19.-20. Mai 2026
📍 @fieramesse 

Networking. Insights. Zukunft der Hospitality.

Interessiert? Dann sichert euch noch ein Ticket.
🎟️ VITALPIN-Mitglieder erhalten einen Promocode über 15% Rabatt 🏷️ auf den regulären Ticketpreis (gilt für alle Kategorien).

👉 Kurz bei uns melden und sofort profitieren.

credits: ©Armin Huber

#beam2026 #beamsummit #networkingevent #tourismus #vitalpin",0,"04/13/2026 01:39",https://www.instagram.com/p/DXEMEGtDLdo/,"Immagine di Instagram",,Totale,1001,14,2,1,0,,
17883410319493109,17841465712152746,beam_summit,"BEAM Hospitality Gamechanger Summit","""But what makes BEAM different from other events?""
Fair question.
Every week there are 10 hospitality events in Europe. Conferences, trade shows, summits.

Most follow the same pattern:
- Stage
- Famous speaker
- Applause
- Random networking
- Go home
- Forget everything in 72h

BEAM flipped this model.

Because we don't believe in events. 
We believe in transformative experiences.

Tickets: link in bio!

#BEAM2026 #HospitalityEvents #NetworkingStrategy #EventMarketing #TransformativeExperience",0,"04/03/2026 08:30",https://www.instagram.com/p/DWrLMzKAsK-/,"Carosello di Instagram",,Totale,604,7,0,0,1,342,0
18050323544718535,17841445457251521,foodservicelab,"The Food Service Future🍽️🌱💡","The 5-Trillion-Dollar Business Case – Food as the next big thing after the internet

At this year's @beam_summit  in Bolzano, the Dussmann Group will be supporting an interactive masterclass that will explore why sustainability is becoming an increasingly powerful driver of revenue for the food sector. 

This session highlights the specific action areas that are now open to decision-makers in the hospitality industry, food service, agriculture and healthcare.

The masterclass will be hosted by Christian Hamerle, Head of Global Food Service Transformation at Dussmann Group, together with an outstanding panel of experts including Jörg Reuter, Christian Sina, Roger A. Jann and Tilo Hühn.

📅 Tuesday, 19 May 2026 | approx. 16:15–18:00
🎟️ Get your ticket and join us in Bolzano: Link in Bio [https://beam.fierabolzano.it/de/tickets/] 

We look forward to meeting you in Bolzano to discuss the future of food services.

Photo: @beam_summit  @fieramesse",0,"03/30/2026 01:01",https://www.instagram.com/p/DWgEmjCiWOT/,"Immagine di Instagram",,Totale,944,16,2,0,0,,
18100504933758009,17841465712152746,beam_summit,"BEAM Hospitality Gamechanger Summit","9,000 residents. 4.5 million visitors.
Immense traffic. Trail degradation. Human-wildlife conflicts.
Banff National Park was breaking.

Leslie Bruce did something radical: she invited their biggest regulators and harshest critics to build the future together.

Federal government, local government, and business community at the same table. 

2,000 people surveyed. 550+ ideas generated.

The result?
2M+ people on mass transit. Indigenous showcases supported. A community that went from adversaries to allies.

The secret?
Finding the one thing everyone agreed on: we all love this park.

See you at BEAM 2026? 
May 19-20 | Bolzano

Link in bio!
#BEAM2026 #RadicalCollaboration #LeadTheShift #LeslieBruce #Banff #DestinationManagement""",0,"03/26/2026 09:30",https://www.instagram.com/p/DWWrsI5CCvx/,"Carosello di Instagram",,Totale,289,6,0,0,0,158,0
18075683819536193,17841465712152746,beam_summit,"BEAM Hospitality Gamechanger Summit","This is BEAM.

You don’t see people sitting and listening.
You see people collaborating, experimenting, creating.
You don’t see random networking.
You see connections designed to last.
You don’t see an event ending Sunday night.
You see the start of collaborations that will change how you do hospitality.

48 intense hours.
12 months of impact.

BEAM 2026
May 19-20 | Bolzano

Link in bio for tickets ☀️

#beambitious #beamsummit #hospitality #transformation #innovation",18,"03/23/2026 10:35",https://www.instagram.com/reel/DWPEmcYjekY/,"Reel di Instagram",,Totale,415,6,1,0,0,322,1
18061992578405346,17841465712152746,beam_summit,"BEAM Hospitality Gamechanger Summit","Everyone talks about real transformation.
But what does it really mean in hospitality?

Boris Lebedev (Speaker, Business Consultant, transformative facilitator) is one of the speakers at BEAM 2026 – and he’ll explore what a regenerative hospitality economy is…and what it isn’t.

REAL transformation is…
 Not superficial change.
 Not small adjustments.
 Not just marketing.

It’s an energetic stance.
 A different way of relating to life.
 A different way of doing business.
 Painful, risky – AND worth it.

With over 10 years in the industry and roles in Reinventing Society and Club of Rome Germany, Boris brings a clear perspective on how hospitality can move towards a regenerative future.

At BEAM, discover what that shift could look like.

:spiral_calendar_pad: May 19–20 | Bolzano
 :admission_tickets: Link in bio

#BEAMSummit #LeadTheShift #RegenerativeEconomy",0,"03/20/2026 09:30",https://www.instagram.com/p/DWHO5oGE0mq/,"Carosello di Instagram",,Totale,377,6,3,0,0,219,0
18318622372255222,17841465712152746,beam_summit,"BEAM Hospitality Gamechanger Summit","Those who truly lead change in hospitality don't wait for the right moment.
They build it.

They don't look for generic inspiration.
They look for the right people, the right conversations, the right environment.

BEAM exists for this: many selected professionals, two days of engineered networking and workshops that leave something concrete behind.

May 19 and 20 in Bolzano.

Tomorrow, ticket prices go up.

If you've been waiting for a sign, this is it.
Link in bio.

#BEAMsummit #hospitality #tourism #networking",0,"03/16/2026 08:29",https://www.instagram.com/p/DV80w9WigYh/,"Carosello di Instagram",,Totale,589,8,0,1,2,314,1
18567362764053517,17841465712152746,beam_summit,"BEAM Hospitality Gamechanger Summit","""The future we want must be invented - otherwise we get one we don’t want.” 

Building on the spirit of Joseph Beuys, Sabine Rogg, Managing Director Avantgarde Germany & Trendbüro, takes the stage at the BEAM Summit to explore the Trends to Watch 2026.

With a meta-mood for 2026 moving at full speed in a two-way dynamic, her keynote dives into the relevant drivers reshaping consumer mindsets – and what they mean for brand relevance.

At BEAM, she will share how overarching, ongoing shifts influence expectations, values, and decision-making – and how brands can actively shape the future instead of reacting to it. Because strong brands don’t wait for what’s next. They curate and guide future directions.

Let’s Future!

🗓 May 19-20 | Bolzano
🎟 Link in bio

#BEAMSummit #LeadTheShift",0,"03/13/2026 11:31",https://www.instagram.com/p/DV1bOshCvBd/,"Carosello di Instagram",,Totale,289,10,0,0,1,167,0
17873747481557885,17841465712152746,beam_summit,"BEAM Hospitality Gamechanger Summit","Everything you need to know before joining BEAM.
Swipe through.

#BEAM #tourism #hospitalityevent #hospitality  #HospitalityIndustry",0,"03/11/2026 09:30",https://www.instagram.com/p/DVwDwvogTMs/,"Carosello di Instagram",,Totale,361,11,5,0,1,170,0
18100804162931527,17841465712152746,beam_summit,"BEAM Hospitality Gamechanger Summit","""Eco-friendly"" is the new baseline. The full report on the 5 trends reshaping hospitality is at the link in bio or comment REPORT and we'll send it to your inbox.

Get it for free💛

#hospitalityreport #ecofriendly #hospitality #trend",0,"03/09/2026 09:30",https://www.instagram.com/p/DVq6LOaCBNi/,"Carosello di Instagram",,Totale,326,6,1,1,0,203,0
18099033727898847,17841465712152746,beam_summit,"BEAM Hospitality Gamechanger Summit","We're consuming 1.7 Earths. By 2050, it'll be three planets.

Diane Verde Nieto didn't come to BEAM to depress us.
She came to show us the way forward.

Hospitality represents 10% of global GDP and touches every system: food, energy, culture, community, wellness.
When you change hospitality, the ripple effect is massive.

But sustainability isn't enough anymore. We need regeneration.

Her work in Tismoudin, Morocco, transformed an abandoned village into a thriving community in three years. 

How? By asking one question: ""What are your dreams?""

Intention matters.

BEAM 2026 | May 19-20 | Bolzano

#BEAM2026 #RegenerativeHospitality #LeadTheShift #DianeVerdeNieto #Sustainability #Impact",0,"03/06/2026 09:30",https://www.instagram.com/p/DVjSpM0DVwS/,"Carosello di Instagram",,Totale,266,9,3,0,1,139,0
